A,P,time
1.0,0.0,0.0
0.8945273631840798,0.08766169154228856,0.552
0.818905472636816,0.17412935323383086,1.104
0.7402985074626867,0.2467661691542289,1.655
0.6776119402985076,0.3124378109452737,2.207
0.6129353233830847,0.37512437810945276,2.759
0.556218905472637,0.43084577114427863,3.311
0.5054726368159205,0.4875621890547264,3.862
0.4587064676616916,0.5303482587064677,4.414
0.41990049751243785,0.5721393034825871,4.966
0.37711442786069654,0.6139303482587065,5.518
0.34029850746268664,0.6616915422885573,6.069
0.3104477611940299,0.6935323383084577,6.621
0.2845771144278607,0.7124378109452737,7.173
0.25771144278606967,0.7333333333333334,7.725
0.22985074626865676,0.7681592039800996,8.276
0.2129353233830846,0.782089552238806,8.828
0.1920398009950249,0.8029850746268659,9.38
0.17611940298507464,0.8149253731343284,9.932
0.1592039800995025,0.8318407960199006,10.48
0.14427860696517414,0.8447761194029851,11.04
0.13233830845771147,0.855721393034826,11.59
0.12039800995024877,0.87363184079602,12.14
0.11044776119402987,0.8885572139303484,12.69
0.10248756218905473,0.8835820895522389,13.24
0.09323383084577117,0.9044776119402986,13.79
0.08577114427860698,0.9024875621890549,14.35
0.0783084577114428,0.9134328358208956,14.9
0.0728358208955224,0.9124378109452738,15.45
0.06766169154228857,0.9273631840796022,16.0
0.06228855721393036,0.9343283582089553,16.55
0.05820895522388061,0.928358208955224,17.1
0.05323383084577115,0.9422885572139305,17.66
0.049651741293532344,0.9412935323383085,18.21
0.04636815920398011,0.946268656716418,18.76
