A,P,time
1.0,0.0,0.0
0.9102822580645161,0.0970766129032258,0.971
0.8024193548387097,0.19455645161290322,1.942
0.7056451612903225,0.2832661290322581,2.914
0.626008064516129,0.3709677419354839,3.885
0.5463709677419355,0.4435483870967742,4.856
0.4798387096774193,0.5171370967741936,5.827
0.41129032258064513,0.595766129032258,6.798
0.3598790322580645,0.6370967741935484,7.77
0.3074596774193548,0.6905241935483871,8.741
0.2681451612903226,0.7288306451612903,9.712
0.2278225806451613,0.7721774193548387,10.68
0.1935483870967742,0.8084677419354839,11.65
0.1653225806451613,0.8366935483870968,12.63
0.14314516129032256,0.8649193548387096,13.6
0.12298387096774194,0.8790322580645161,14.57
0.10483870967741934,0.8971774193548387,15.54
0.09173387096774194,0.9143145161290323,16.51
0.07993951612903226,0.9183467741935484,17.48
0.07127016129032258,0.9203629032258065,18.45
0.06310483870967742,0.9455645161290323,19.42
0.05705645161290322,0.9415322580645162,20.4
0.052016129032258066,0.9485887096774193,21.37
0.048185483870967744,0.9576612903225806,22.34
0.04506048387096774,0.9495967741935484,23.31
0.04213709677419355,0.9546370967741935,24.28
