A,P,time
1.0,0.0,0.0
0.7943548387096775,0.17439516129032256,0.0794
0.719758064516129,0.24899193548387097,0.159
0.6653225806451614,0.29637096774193544,0.238
0.6199596774193549,0.33870967741935487,0.318
0.5796370967741935,0.3800403225806452,0.397
0.5403225806451614,0.42439516129032256,0.477
0.5040322580645161,0.4627016129032258,0.556
0.4647177419354839,0.4959677419354839,0.635
0.4324596774193548,0.5282258064516129,0.715
0.3961693548387097,0.5655241935483871,0.794
0.3659274193548387,0.6028225806451613,0.874
0.3306451612903226,0.6391129032258065,0.953
0.29939516129032256,0.6673387096774194,1.033
0.27217741935483875,0.6935483870967741,1.112
0.24193548387096772,0.7227822580645161,1.191
0.2157258064516129,0.7459677419354839,1.271
0.19153225806451613,0.7862903225806452,1.35
0.16935483870967744,0.7953629032258065,1.43
0.15120967741935484,0.8225806451612903,1.509
0.1310483870967742,0.844758064516129,1.588
0.11592741935483872,0.8588709677419355,1.668
0.09868951612903226,0.8770161290322581,1.747
0.08508064516129032,0.8870967741935484,1.827
0.07288306451612904,0.8991935483870968,1.906
0.06320564516129033,0.9233870967741936,1.986
0.05352822580645161,0.9455645161290323,2.065
0.046471774193548386,0.9334677419354839,2.144
0.04002016129032258,0.9425403225806452,2.224
0.03417338709677419,0.9566532258064516,2.303
0.02973790322580645,0.9596774193548386,2.383
0.026209677419354836,0.9647177419354839,2.462
0.023387096774193546,0.9657258064516129,2.542
0.020866935483870967,0.9616935483870968,2.621
